municipality,vintage,entity_type,modified_local_assessed_value,equalized_valuation_incl_util_rr,local_total_rate,equalization_ratio,full_value_rate_official,rank,source
Dix's Grant,2019,unincorporated,1003919.0,1121552.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dix's Grant,2020,unincorporated,1000284.0,1150818.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dix's Grant,2021,unincorporated,1072502.0,1267209.0,0.0,83.4,0.0,N/A,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dix's Grant,2022,unincorporated,1008318.0,1352285.0,0.0,71.3,0.0,N/A,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dix's Grant,2023,unincorporated,1413477.0,1356557.0,0.0,105.7,0.0,N/A,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dix's Grant,2024,unincorporated,1444030.0,2116123.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2019,unincorporated,7969989.0,31885049.0,7.92,86.5,1.96,2,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2020,unincorporated,8448784.0,32467978.0,6.6,87.1,1.71,1,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2021,unincorporated,8649847.0,33091227.0,6.27,83.4,1.63,2,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2022,unincorporated,31320810.0,43788977.0,0.25,71.3,0.18,1,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2023,unincorporated,11025329.0,10481220.0,1.12,105.7,1.15,2,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dixville,2024,unincorporated,11233238.0,17936311.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2019,town,44960312.0,44381080.0,20.88,101.4,21.06,124,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2020,town,44998503.0,49937620.0,20.86,89.9,18.73,99,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2021,town,45245310.0,61383018.0,22.16,73.4,16.28,109,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2022,town,46033048.0,68596654.0,23.13,67.0,15.48,141,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2023,town,46073987.0,72969951.0,25.82,63.1,16.26,160,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dorchester,2024,town,90135345.0,87917796.0,14.9,102.6,15.25,141,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2019,city,3701359340.0,3965170464.0,25.19,93.5,22.97,159,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2020,city,3901154250.0,4224304577.0,24.85,92.5,22.4,168,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2021,city,4589317030.0,5051014117.0,21.7,91.0,19.18,176,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2022,city,5222397720.0,5798769650.0,19.84,90.2,17.34,189,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2023,city,5972315630.0,6683354493.0,18.7,89.5,16.14,156,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dover,2024,city,6647139470.0,7157772360.0,18.17,93.0,16.31,168,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2019,town,273073580.0,267826093.0,24.63,102.6,24.96,185,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2020,town,275008426.0,274211550.0,24.63,100.9,24.55,199,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2021,town,278787570.0,325449717.0,23.42,85.8,19.94,190,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2022,town,281951590.0,432340433.0,24.97,65.3,16.22,163,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2023,town,283795244.0,474568788.0,27.67,59.9,16.48,165,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dublin,2024,town,478520652.0,479366432.0,17.99,100.0,17.94,190,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2019,town,99082905.0,89435771.0,14.16,99.9,14.3,45,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2020,town,99559420.0,90088664.0,16.33,97.5,16.72,69,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2021,town,101947605.0,104632281.0,16.07,84.8,14.41,76,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2022,town,99426898.0,151232679.0,16.8,65.6,10.46,52,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2023,town,99055214.0,189433118.0,18.1,52.2,8.86,33,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dummer,2024,town,185503822.0,163316758.0,8.72,113.7,9.39,46,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2019,town,315735653.0,423324487.0,27.21,75.2,20.15,108,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2020,town,394747668.0,441154324.0,22.28,90.2,19.8,116,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2021,town,400371429.0,522283549.0,23.41,77.2,17.81,149,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2022,town,406391937.0,609967822.0,22.98,67.1,15.33,138,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2023,town,411409645.0,670130200.0,25.57,61.8,15.7,144,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Dunbarton,2024,town,426297249.0,760530241.0,26.38,56.4,14.79,126,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2019,town,1208806787.0,1312883720.0,27.43,92.8,24.93,183,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2020,town,1243655487.0,1545334632.0,27.73,81.5,22.0,160,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2021,town,1265232333.0,1799956129.0,27.91,71.8,19.33,179,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2022,town,1256985014.0,1843008917.0,29.04,70.1,20.09,215,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2023,town,1872968904.0,2057334965.0,20.48,93.5,18.91,203,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Durham,2024,town,1882902391.0,2489181140.0,20.33,77.6,15.58,149,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2019,town,396414793.0,404522164.0,22.52,98.0,21.96,136,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2020,town,400944627.0,427917128.0,22.4,93.7,20.84,140,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2021,town,401314666.0,488798971.0,22.01,82.1,17.94,154,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2022,town,402154402.0,567985531.0,22.8,70.8,16.05,160,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2023,town,400801427.0,575071034.0,25.19,69.7,17.45,188,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
East Kingston,2024,town,622748864.0,614763921.0,16.13,101.3,16.26,167,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2019,town,64135162.0,76485099.0,12.99,84.3,10.86,21,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2020,town,75921478.0,82282258.0,11.86,92.7,10.92,24,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2021,town,76963510.0,106308229.0,12.26,72.7,8.85,26,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2022,town,77220099.0,126781630.0,11.96,61.1,7.3,23,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2023,town,77783741.0,126869963.0,12.89,61.5,7.91,25,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Easton,2024,town,78078765.0,141848155.0,13.91,55.2,7.66,25,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2019,town,113400155.0,114476882.0,12.05,99.1,11.92,28,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2020,town,114582083.0,118472535.0,14.26,96.7,13.77,45,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2021,town,143226973.0,149780782.0,11.15,95.6,10.65,40,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2022,town,144230316.0,158623879.0,10.76,90.9,9.77,44,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2023,town,145713877.0,191047826.0,13.07,76.2,9.96,50,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Eaton,2024,town,147574711.0,223792984.0,12.81,65.9,8.44,33,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2019,town,167519944.0,198500825.0,26.9,84.4,22.62,151,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2020,town,210477016.0,211620075.0,21.25,99.5,21.08,144,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2021,town,213219276.0,271477032.0,22.49,78.5,17.6,143,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2022,town,214993667.0,361756288.0,23.57,59.4,13.98,108,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2023,town,216517843.0,342756715.0,24.69,63.2,15.52,141,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Effingham,2024,town,218220842.0,360747113.0,27.52,60.5,16.58,171,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2019,town,13708347.0,17392748.0,20.64,80.5,16.22,58,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2020,town,19448628.0,18628402.0,15.06,106.2,15.69,61,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2021,town,19452572.0,21625182.0,14.32,91.6,12.84,62,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2022,town,19499899.0,29575921.0,15.18,67.0,10.16,49,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2023,town,19479979.0,31291957.0,15.01,63.0,9.44,42,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Ellsworth,2024,town,20177094.0,36638939.0,15.21,55.7,8.46,34,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2019,town,596772695.0,627474167.0,25.05,95.1,23.11,161,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2020,town,599930986.0,685552818.0,25.45,87.5,21.6,153,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2021,town,606640319.0,824053224.0,25.11,73.6,17.94,154,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2022,town,611567680.0,972114584.0,25.75,62.9,15.72,148,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2023,town,619097591.0,1078474141.0,27.16,57.4,15.11,130,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Enfield,2024,town,1074048992.0,1158550240.0,16.91,92.7,15.0,132,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2019,town,728317500.0,965201474.0,27.7,75.8,20.71,119,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2020,town,933583900.0,1022262662.0,23.64,91.7,21.4,150,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2021,town,951925300.0,1218722145.0,22.42,78.4,17.36,136,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2022,town,981780386.0,1436274318.0,22.49,69.3,15.47,140,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2023,town,1007659898.0,1620148020.0,23.4,63.0,14.65,114,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Epping,2024,town,1043374996.0,1756680313.0,25.23,60.2,15.08,139,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2019,town,435271081.0,515468565.0,27.09,84.6,22.76,154,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2020,town,509317729.0,533753658.0,21.83,95.6,20.74,139,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2021,town,515895445.0,656354277.0,23.64,78.7,18.5,165,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2022,town,520788691.0,697401214.0,23.84,74.8,17.76,194,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2023,town,521769910.0,867850190.0,24.63,60.2,14.77,116,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Epsom,2024,town,524294606.0,983168401.0,26.64,53.4,14.16,112,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2019,town,88834525.0,89076350.0,13.43,101.6,13.15,34,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2020,town,90067236.0,98996895.0,13.25,92.8,11.87,30,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2021,town,90585368.0,126218134.0,13.86,72.7,9.82,33,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2022,town,92028622.0,150254687.0,13.15,62.1,8.1,31,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2023,town,136515070.0,145246334.0,9.56,95.4,9.03,36,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Errol,2024,town,140846397.0,166806731.0,9.22,85.6,7.81,26,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2019,unincorporated,51387.0,52867.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2020,unincorporated,50191.0,58024.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2021,unincorporated,60432.0,69382.0,5.07,83.4,4.41,6,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2022,unincorporated,50409.0,60442.0,9.01,71.3,7.51,25,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2023,unincorporated,58914.0,58914.0,0.0,105.7,0.0,N/A,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Erving's Grant,2024,unincorporated,63292.0,59879.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2019,town,2250035117.0,2418717653.0,23.27,93.1,20.89,120,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2020,town,2280209028.0,2638155410.0,24.49,86.5,20.35,128,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2021,town,2322324298.0,2908870262.0,24.01,79.9,18.28,163,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2022,town,2346784360.0,3585599864.0,24.75,65.5,15.44,139,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2023,town,2352394597.0,3701263029.0,26.78,63.6,16.21,159,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Exeter,2024,town,3680184775.0,3929989978.0,17.79,93.7,15.75,155,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2019,town,565856662.0,569969136.0,22.24,99.6,21.69,132,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2020,town,569386156.0,649683137.0,22.92,87.8,19.61,114,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2021,town,574308142.0,766078238.0,23.37,75.1,17.11,129,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2022,town,578780324.0,951962035.0,24.18,60.9,14.4,115,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2023,town,585421671.0,979223981.0,25.66,59.9,14.99,126,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Farmington,2024,town,1060890628.0,1097961021.0,14.88,96.8,14.0,107,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2019,town,294598130.0,308170103.0,26.49,95.6,24.82,179,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2020,town,300519850.0,362835531.0,25.76,82.8,20.91,142,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2021,town,295475152.0,402470736.0,25.83,73.4,18.63,169,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2022,town,499833810.0,502884695.0,16.41,99.4,16.13,162,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2023,town,507907856.0,581041229.0,16.92,87.4,14.6,112,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Fitzwilliam,2024,town,503820581.0,563621919.0,18.27,89.4,16.13,164,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2019,town,216883875.0,221062592.0,24.17,98.1,23.64,169,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2020,town,218348599.0,227893705.0,25.86,95.8,24.7,200,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2021,town,220277400.0,278925795.0,24.52,78.9,19.31,177,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2022,town,223480185.0,361293670.0,25.84,61.8,15.93,154,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2023,town,224238476.0,399588380.0,27.88,56.1,15.58,142,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Francestown,2024,town,410856706.0,409631401.0,16.06,100.3,16.07,163,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2019,town,288323046.0,332217273.0,18.98,87.0,16.41,60,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2020,town,291613149.0,361485645.0,18.5,80.8,14.87,54,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2021,town,414995423.0,434700229.0,12.95,95.6,12.33,58,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2022,town,420108701.0,567912069.0,12.2,74.1,9.02,41,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2023,town,425542281.0,625768508.0,14.35,68.1,9.75,44,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Franconia,2024,town,431793949.0,753148979.0,15.98,57.4,9.16,45,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2019,city,692746471.0,727398400.0,22.47,95.5,20.92,121,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2020,city,702355276.0,808177885.0,22.84,87.1,19.39,110,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2021,city,704274415.0,944868951.0,23.21,74.7,16.9,124,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2022,city,700731397.0,1077068322.0,24.39,65.2,15.59,143,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2023,city,1158347984.0,1244130438.0,16.26,93.3,14.79,118,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Franklin,2024,city,1162256462.0,1477866097.0,17.15,78.8,13.18,92,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2019,town,495480054.0,604201127.0,13.56,82.0,11.1,24,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2020,town,652266439.0,629632320.0,10.67,103.6,11.04,25,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2021,town,658128874.0,884262982.0,10.85,74.4,8.06,21,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2022,town,661812101.0,1051993595.0,10.23,62.9,6.43,17,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2023,town,669405235.0,1154062798.0,10.98,58.0,6.36,14,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Freedom,2024,town,1183636840.0,1180099390.0,7.18,100.3,7.19,21,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2019,town,412248368.0,557038486.0,31.05,74.0,22.87,157,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2020,town,536847528.0,587947726.0,23.13,91.3,21.03,143,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2021,town,543294555.0,709145741.0,22.32,76.6,17.01,128,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2022,town,552698587.0,808831601.0,23.19,67.4,15.77,149,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2023,town,560455732.0,881182922.0,23.59,63.6,14.92,123,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Fremont,2024,town,567613298.0,945984871.0,26.37,60.0,15.75,155,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2019,town,2034027240.0,2127633134.0,15.86,95.7,15.14,52,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2020,town,2151701218.0,2315996684.0,15.03,93.0,13.94,48,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2021,town,2585634570.0,2914073079.0,12.28,88.8,10.88,44,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2022,town,2603776320.0,3717053285.0,12.25,70.1,8.58,36,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2023,town,3509240580.0,3658005112.0,10.3,96.0,9.87,47,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilford,2024,town,3535682840.0,4372112622.0,11.25,81.0,9.1,43,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2019,town,540927875.0,546461031.0,22.79,99.0,22.43,146,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2020,town,549825743.0,604102246.0,23.2,91.0,20.89,141,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2021,town,554703400.0,721956877.0,23.5,76.8,17.97,155,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2022,town,561374152.0,897794741.0,23.97,62.5,14.92,130,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2023,town,567893174.0,962540313.0,23.39,59.0,13.74,93,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilmanton,2024,town,1060799201.0,1048342023.0,14.74,101.2,14.88,129,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2019,town,70932123.0,69551007.0,28.01,102.0,28.45,214,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2020,town,72155174.0,77125765.0,25.75,93.5,23.95,190,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2021,town,72862304.0,84775591.0,23.2,85.9,19.84,186,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2022,town,72902800.0,100872490.0,23.57,72.2,16.72,176,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2023,town,72999003.0,110219612.0,26.03,66.2,16.92,178,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Gilsum,2024,town,138733135.0,137636168.0,14.54,100.8,14.54,119,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2019,town,1726526400.0,1929008574.0,24.58,89.5,21.72,134,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2020,town,1748506200.0,2086450848.0,24.82,83.8,20.54,134,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2021,town,1761340800.0,2477515368.0,24.82,71.1,17.42,139,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2022,town,1774116900.0,2794287030.0,26.31,63.5,16.53,172,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2023,town,2727758500.0,2913056061.0,18.86,93.8,17.5,189,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Goffstown,2024,town,2766513000.0,3214362283.0,20.44,86.2,17.42,184,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2019,town,272793185.0,295653777.0,33.77,92.4,30.58,221,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2020,town,275679909.0,319288996.0,31.85,86.5,27.0,215,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2021,town,260604118.0,355591259.0,35.6,75.1,25.68,231,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2022,town,385493545.0,432198535.0,24.25,91.0,21.87,225,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2023,town,390603707.0,455407907.0,24.55,87.0,21.11,218,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Gorham,2024,town,386895955.0,512725453.0,28.29,76.4,21.4,213,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2019,town,72865087.0,81192807.0,27.88,89.7,24.94,184,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2020,town,83090721.0,85917145.0,22.97,96.7,22.13,163,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2021,town,83086531.0,104739768.0,25.29,79.2,19.98,193,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2022,town,83229142.0,132520815.0,22.03,62.7,13.8,99,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2023,town,85175571.0,146301763.0,21.57,58.2,12.52,78,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Goshen,2024,town,85329277.0,157962507.0,23.32,54.0,12.56,85,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2019,town,117663108.0,138317565.0,31.77,85.0,26.93,203,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2020,town,141364909.0,140807508.0,26.85,100.4,26.86,211,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2021,town,141551894.0,173328394.0,25.88,81.5,21.04,206,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2022,town,142432460.0,221075373.0,26.5,64.3,17.0,181,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2023,town,142818832.0,231032727.0,27.3,61.8,16.8,174,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Grafton,2024,town,143280266.0,258902441.0,30.6,55.3,16.86,176,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2019,town,469595533.0,555710225.0,25.86,84.5,21.78,135,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2020,town,541725686.0,571415652.0,23.46,94.8,22.17,164,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2021,town,544064165.0,706458100.0,22.92,77.0,17.6,143,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2022,town,761261991.0,855299366.0,16.44,89.0,14.61,122,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2023,town,767430846.0,971372471.0,17.59,79.0,13.86,97,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Grantham,2024,town,767953252.0,1049072054.0,19.61,73.2,14.32,115,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,2019,unincorporated,7886494.0,9185126.0,5.25,86.5,4.5,7,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,2020,unincorporated,8057510.0,9316633.0,5.13,87.1,4.42,5,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,2021,unincorporated,8085010.0,9776092.0,6.68,83.4,5.49,11,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,2022,unincorporated,8188910.0,11564215.0,7.59,71.3,5.39,12,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Green's Grant,2023,unincorporated,9125290.0,8694928.0,7.57,105.7,7.97,26,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
